store_nbr,family,RMSE,MAE,MAPE
1,AUTOMOTIVE,2.922538281239146,2.084036251301946,67.06849898235396
1,BEAUTY,1.8856452302963367,1.4533097170731133,65.22723086398297
1,BEVERAGES,276.7736148079151,223.78953697029226,12.72848162274862
1,BOOKS,0.8038854351739262,0.4360771229821649,20.491607864168916
1,BREAD/BAKERY,48.804751515758205,37.95112710396472,12.893630773040588
1,CELEBRATION,7.939294952443957,6.098542467081867,87.79352549817344
1,CLEANING,88.48714730540443,67.97036560283681,12.610331897744015
1,DAIRY,99.83614499365672,82.1603152826546,14.285662774402905
1,DELI,22.63547887452023,18.319067904210495,15.953966050004617
1,EGGS,21.244069935052867,16.387023757090486,12.090059554933033
1,FROZEN FOODS,33.29656185218224,26.513334515020485,22.359107905858515
1,GROCERY I,419.70482968948886,333.3821254899159,15.299570851134773
1,GROCERY II,9.309261603717617,6.980381428093325,32.38390467069008
1,HARDWARE,1.4313346186846407,1.0225828288720316,51.86636386487261
1,HOME AND KITCHEN I,13.46495530039964,9.489698196734928,52.89528869076388
1,HOME AND KITCHEN II,8.764610112800458,6.792044998074809,33.50672389919691
1,HOME APPLIANCES,1.2931274483245245,1.049932503463154,67.69505457876225
1,HOME CARE,33.149676211378846,27.890812467597193,20.850652290923193
1,LADIESWEAR,5.215877440486014,4.343525136205434,49.22862907456974
1,LAWN AND GARDEN,8.48426727191401,7.166647627479363,61.46161590394376
1,LINGERIE,5.471753009275645,4.168338070144664,93.24860947851417
1,"LIQUOR,WINE,BEER",30.926209897558493,26.432261720133905,37.04823251284197
1,MAGAZINES,3.427794786371507,2.8861353969401455,73.91844274668426
1,MEATS,79.2333853653605,61.99575806676217,22.83329893536116
1,PERSONAL CARE,28.20980006089734,21.022126687946827,16.069061012484514
1,PET SUPPLIES,2.64971251875431,2.1239547513439416,56.6240446677318
1,PLAYERS AND ELECTRONICS,3.931568891907315,3.2405614395546896,63.99562316908095
1,POULTRY,53.42945700746894,43.108363259665175,15.722458079696027
1,PREPARED FOODS,22.91185886265096,19.13701409199746,35.060667641152186
1,PRODUCE,346.6409276672228,285.2971141869696,14.848914380719913
1,SCHOOL AND OFFICE SUPPLIES,0.73032154493433,0.73032154493433,73.032154493433
1,SEAFOOD,9.613361212242658,7.373687930137456,34.86021599493977
10,AUTOMOTIVE,2.25774153684327,1.3261774366035108,55.04142269509005
10,BEAUTY,2.1144433852125966,1.4180267082024463,40.78568862218748
10,BEVERAGES,239.16265801788285,180.08785878986072,14.127502096081404
10,BREAD/BAKERY,21.08905839279857,16.704131955919454,16.582895240987906
10,CELEBRATION,2.6588632374026737,1.9463598261652832,70.65953394504312
